id,active,name,category,type,min_grade,min_duration,description
1237,0,"Agente de Estação Ferroviária","Infraestrutura","FIC","Ensino Fundamental Completo","400","Atua no planejamento e controle de atividades, realiza manobras ferroviárias e vistoriar o material rodante, via permanente e sinalização, atendendo procedimentos técnicos, operacionais, normas de segurança, de saúde, de qualidade e meio ambiente. Elabora a documentação física e digital dos processos da operação ferroviária garantindo o cumprimento da legislação vigente e a consistência das informações de acordo com os padrões de qualidade e segurança."
1238,0,"Agente de Gestão de Resíduos Sólidos","Ambiente e Saúde","FIC","Ensino Fundamental Completo","240","Executa serviços no âmbito da gestão de resíduos sólidos, com foco na sua redução, reutilização e reciclagem, fazendo inspeções e campanhas de conscientização para orientar na gestão adequada. Busca e realiza parcerias com empresas para a coleta dos resíduos recicláveis. "
1239,0,"Agente de Higiene e Beleza Animal","Ambiente e Saúde","FIC","Ensino Fundamental II Incompleto","160","Desenvolve atividades relacionadas ao cuidado estético de cães e gatos. Tosa e banha os animais, penteia e seca os pelos, corta as unhas, escova os dentes."
1240,0,"Agente de Inclusão Digital em Centros Públicos de Acesso à Internet ","Informação e Comunicação","FIC","Ensino Fundamental Completo","200","Orienta usuários dos telecentros para o uso democrático e gratuito das tecnologias de informação e comunicação - TICs, dos serviços de governo eletrônico e facilita a produção de conhecimento com o uso das TICs. Promove os processos de participação pública e redes sociais para o desenvolvimento econômico, social, pessoal e da cidadania."
1241,0,"Agente de Informações Turísticas","Turismo, Hospitalidade e Lazer","FIC","Ensino Fundamental II Incompleto","200","Informa e orienta turistas sobre roteiros, programações, serviços e produtos, bem como presta informações históricas, culturais e artísticas locais em postos de atendimento ao turista."
1242,0,"Agente de Inspeção de Qualidade","Gestão e Negócios","FIC","Ensino Fundamental II Incompleto","160","Organiza o armazenamento e movimentação de insumos. Verifica a conformidade de processos. Libera produtos e serviços, de acordo com as normas e procedimentos técnicos de qualidade, segurança, higiene e saúde."
1243,0,"Agente de Limpeza e Conservação","Infraestrutura","FIC","Ensino Fundamental I Incompleto","160","Limpa e conserva áreas comuns internas e externas em condomínios, empresas públicas e privadas, comerciais e industriais. Atua em condomínios e empresas."
1244,0,"Agente de Limpeza em Aeronaves","Infraestrutura","FIC","Ensino Fundamental Completo","160","Efetua limpeza interna e externa da aeronave, mantendo o ambiente higienizado e organizado, a fim de atender às exigências de órgãos regulamentadores."
1245,0,"Agente de Limpeza Urbana","Ambiente e Saúde","FIC","Ensino Fundamental Completo","160","Executa serviços operacionais de coleta de resíduos sólidos domiciliares, seletivos, serviços de saúde e especiais, para transporte e destinação final, observando as normas técnicas, qualidade, trabalho em equipe, segurança e preservação do meio ambiente."
1246,0,"Agente de Microcrédito","Gestão e Negócios","FIC","Ensino Médio Completo","160","Executa serviços de apoio na área de finanças. Atende fornecedores e clientes, fornecendo e recebendo informações sobre produtos e serviços. Trata de documentos variados, cumprindo todo o procedimento necessário referente aos mesmos. Atua na concessão de microcrédito a microempresários, atendendo clientes em campo e nas agências, prospectando clientes nas comunidades."
1247,0,"Agente de Observação de Segurança","Segurança","FIC","Ensino Fundamental Completo","240","Desenvolve atividades em áreas confinadas. Acompanha serviços como liberação de entrada e saída de trabalhadores. Reconhece, avalia e controla riscos. Manuseia equipamentos e produtos. Realiza medições por meio de procedimentos estabelecidos, visando à prevenção de acidentes de trabalho, bem como à qualidade de vida, principalmente em empresas dos ramos químico, pretroquímico, metalúgico e alimentício, de forma a garantir o cumprimento das normas NR-1 e NR-33."
1248,0,"Agente de Operações em Comissaria","Infraestrutura","FIC","Ensino Fundamental Completo","180","Atua no transporte, distribuição e abastecimento de refeições nas aeronaves de voos comerciais,  observando normas de segurança da aviação e de higiene e manipulação dos alimentos."
1249,0,"Agente de Peso e Balanceamento de Aeronaves ","Infraestrutura","FIC","Ensino Médio Completo","200","Atua nos procedimentos de cálculo do peso e balanceamento das aeronaves para garantir a eficiência e segurança do voo. Observa os procedimentos técnicos e de segurança aeroviária. "
1250,0,"Agente de Projetos Sociais","Desenvolvimento Educacional e Social","FIC","Ensino Fundamental Completo","160","Atua junto às organizações sociais na elaboração e execução de projetos sociais, desde o levantamento de demandas, estabelecimento de metas, ações e estratégias, à captação de recursos e prestação de contas."
1251,0,"Agente de Proteção Social Básica","Desenvolvimento Educacional e Social","FIC","Ensino Médio Incompleto","240","Atua no âmbito dos programas e projetos de assistência social, governamentais e não-governamentais, que visam a prevenção de situações de risco social e pessoal de famílias e indivíduos em situação de vulnerabilidade, ameaças e risco de violência."
1252,0,"Agente de Rampa e Fiscal de Pista","Infraestrutura","FIC","Ensino Médio Completo","200","Coordena os equipamentos e operadores de rampa no carregamento e descarregamento da carga, do correio, do material da companhia e das bagagens dos passageiros das aeronaves junto ao setor de rampa; aplica procedimentos de segurança aeroportuária e de saúde, guiamento de aeronaves e fiscalização do pátio."
1253,0,"Agente Funerário","Ambiente e Saúde","FIC","Ensino Fundamental Completo","240","Prepara a regulamentação de serviços funerários, assim como cerimoniais e espaços onde são desenvolvidos os serviços (como cemitérios e crematórios), e as etapas protocolares que envolvem a família e os amigos enlutados. "
1254,0,"Agente Operacional de Estação de Passageiros","Infraestrutura","FIC","Ensino Fundamental Completo","260","Atua no planejamento e controle de atividades, realiza manobras ferroviárias e vistoriar o material rodante, via permanente e sinalização, atendendo procedimentos técnicos, operacionais, normas de segurança, de saúde, de qualidade e meio ambiente. Elaborar a documentação física e digital dos processos da operação ferroviária garantindo o cumprimento da legislação vigente e a consistência das informações de acordo com os padrões de qualidade e segurança."
1255,0,"Agricultor Agroflorestal","Recursos Naturais","FIC","Ensino Fundamental I Incompleto","200","Orienta na implantação de áreas diversificadas para a produção de alimentos e outros recursos como lenha e madeira, garantindo a segurança alimentar, a recuperação progressiva do solo e a geração de renda. Executa a implementação de roçados sustentáveis como alternativa de manejo menos impactante para o solo."
1256,0,"Agricultor Familiar","Recursos Naturais","FIC","Ensino Fundamental I Incompleto","200","Produz em propriedades rurais de pequeno e médio porte. Envolve a família na produção, produz para a merenda escolar. Analisa as redes sociais e econômicas que garantem a sustentabilidade do pequeno produtor no meio rural."
1257,0,"Agricultor Orgânico","Recursos Naturais","FIC","Ensino Fundamental I Incompleto","160","Desenvolve a produção de orgânicos com base na legislação vigente. "
